as_of_date;valuation_time_utc;currency;collateral_curve;market;instrument_id;option_type;exercise_style;settlement_type;expiry_label;expiry_date;expiry_years;swap_tenor_label;underlying_maturity_date;swap_tenor_years;moneyness_bps;strike_rate;forward_swap_rate;atm_normal_vol_bps;normal_vol_bid_bps;normal_vol_mid_bps;normal_vol_ask_bps;black_vol_mid_pct;annuity;discount_factor_to_expiry;notional_eur;premium_bid_eur;premium_mid_eur;premium_ask_eur;premium_mid_bp_notional;intrinsic_value_eur;time_value_eur;vega_eur_per_1bp;delta_annuity_adjusted;quote_source;quote_age_min;liquidity_score;quote_quality;synthetic_seed
2026-06-10;46183,6875;EUR;EUR_ESTR_OIS;EURO_SWAPTION_NORMAL_VOL;EUR-SWO-20260610-E1M-T1Y-M-200-PAYER;PAYER;EUROPEAN;PHYSICAL;1M;2026-07-10;0,08333333;1Y;2027-07-10;1;-200;0,00495852;0,02495852;84,7772;86,4527;88,9427;91,4327;79,9511;0,97397258;0,99824329;10419741;202970,84;202970,84;202970,84;194,7945;202970,84;0;0;0,97397258;BROKER_A;9;81,44;WIDE_BID_ASK;20260610
2026-06-10;46183,6875;EUR;EUR_ESTR_OIS;EURO_SWAPTION_NORMAL_VOL;EUR-SWO-20260610-E1M-T1Y-M-200-RECEIVER;RECEIVER;EUROPEAN;PHYSICAL;1M;2026-07-10;0,08333333;1Y;2027-07-10;1;-200;0,00495852;0,02495852;84,7772;86,4527;88,9427;91,4327;79,9511;0,97397258;0,99824329;10419741;0;0;0;0;0;0;0;0;BROKER_C;9;81,44;WIDE_BID_ASK;20260610
2026-06-10;46183,6875;EUR;EUR_ESTR_OIS;EURO_SWAPTION_NORMAL_VOL;EUR-SWO-20260610-E1M-T1Y-M-150-PAYER;PAYER;EUROPEAN;PHYSICAL;1M;2026-07-10;0,08333333;1Y;2027-07-10;1;-150;0,00995852;0,02495852;84,7772;85,7535;88,0185;90,2835;55,8299;0,97397258;0,99824329;26190803;382636,86;382636,86;382636,86;146,0959;382636,86;0;0;0,97397258;BROKER_A;7;85,94;WIDE_BID_ASK;20260610
2026-06-10;46183,6875;EUR;EUR_ESTR_OIS;EURO_SWAPTION_NORMAL_VOL;EUR-SWO-20260610-E1M-T1Y-M-150-RECEIVER;RECEIVER;EUROPEAN;PHYSICAL;1M;2026-07-10;0,08333333;1Y;2027-07-10;1;-150;0,00995852;0,02495852;84,7772;85,7535;88,0185;90,2835;55,8299;0,97397258;0,99824329;26190803;0;0;0;0;0;0;0;0;BROKER_C;7;85,94;WIDE_BID_ASK;20260610
2026-06-10;46183,6875;EUR;EUR_ESTR_OIS;EURO_SWAPTION_NORMAL_VOL;EUR-SWO-20260610-E1M-T1Y-M-100-PAYER;PAYER;EUROPEAN;PHYSICAL;1M;2026-07-10;0,08333333;1Y;2027-07-10;1;-100;0,01495852;0,02495852;84,7772;84,4756;86,5156;88,5556;44,7755;0,97397258;0,99824329;52497634;511313,13;511313,46;511313,94;97,3974;511312,56;0,9;0,19;0,97394226;BROKER_B;5;90,44;WIDE_BID_ASK;20260610
2026-06-10;46183,6875;EUR;EUR_ESTR_OIS;EURO_SWAPTION_NORMAL_VOL;EUR-SWO-20260610-E1M-T1Y-M-100-RECEIVER;RECEIVER;EUROPEAN;PHYSICAL;1M;2026-07-10;0,08333333;1Y;2027-07-10;1;-100;0,01495852;0,02495852;84,7772;84,4756;86,5156;88,5556;44,7755;0,97397258;0,99824329;52497634;0,57;0,9;1,38;0,0002;0;0,9;0,19;-0,00003033;BROKER_B;5;90,44;WIDE_BID_ASK;20260610
2026-06-10;46183,6875;EUR;EUR_ESTR_OIS;EURO_SWAPTION_NORMAL_VOL;EUR-SWO-20260610-E1M-T1Y-M-050-PAYER;PAYER;EUROPEAN;PHYSICAL;1M;2026-07-10;0,08333333;1Y;2027-07-10;1;-50;0,01995852;0,02495852;84,7772;83,4893;85,3043;87,1193;38,2206;0,97397258;0,99824329;104877316;512445,94;512705,89;512989,67;48,8863;510738,15;1967,74;149,73;0,95336722;BROKER_C;4;94,94;OK;20260610
2026-06-10;46183,6875;EUR;EUR_ESTR_OIS;EURO_SWAPTION_NORMAL_VOL;EUR-SWO-20260610-E1M-T1Y-M-050-RECEIVER;RECEIVER;EUROPEAN;PHYSICAL;1M;2026-07-10;0,08333333;1Y;2027-07-10;1;-50;0,01995852;0,02495852;84,7772;83,4893;85,3043;87,1193;38,2206;0,97397258;0,99824329;104877316;1707,79;1967,74;2251,51;0,1876;0;1967,74;149,73;-0,02060536;BROKER_A;4;94,94;OK;20260610
2026-06-10;46183,6875;EUR;EUR_ESTR_OIS;EURO_SWAPTION_NORMAL_VOL;EUR-SWO-20260610-E1M-T1Y-M-025-PAYER;PAYER;EUROPEAN;PHYSICAL;1M;2026-07-10;0,08333333;1Y;2027-07-10;1;-25;0,02245852;0,02495852;84,7772;83,3133;85,0183;86,7233;35,9097;0,97397258;0,99824329;104688715;273850,72;275029,88;276233,84;26,2712;254909,85;20120,03;698,96;0,82379738;BROKER_A;3;97,19;OK;20260610
2026-06-10;46183,6875;EUR;EUR_ESTR_OIS;EURO_SWAPTION_NORMAL_VOL;EUR-SWO-20260610-E1M-T1Y-M-025-RECEIVER;RECEIVER;EUROPEAN;PHYSICAL;1M;2026-07-10;0,08333333;1Y;2027-07-10;1;-25;0,02245852;0,02495852;84,7772;83,3133;85,0183;86,7233;35,9097;0,97397258;0,99824329;104688715;18940,88;20120,03;21324;1,9219;0;20120,03;698,96;-0,1501752;BROKER_C;3;97,19;OK;20260610
2026-06-10;46183,6875;EUR;EUR_ESTR_OIS;EURO_SWAPTION_NORMAL_VOL;EUR-SWO-20260610-E1M-T1Y-M+000-PAYER;PAYER;EUROPEAN;PHYSICAL;1M;2026-07-10;0,08333333;1Y;2027-07-10;1;0;0,02495852;0,02495852;84,7772;83,2795;84,8695;86,4595;34,0042;0,97397258;0,99824329;104417619;97538,92;99401,16;101263,41;9,5196;0;99401,16;1171,22;0,48698629;BROKER_C;2;99;OK;20260610
